,Tweets
106,ایسا پہلے تو نہیں ہوا کہ پولیس تشدد کی رپورٹنگ پر صحافیوں کو ہی گرفتار کر لیا جائے۔
107,یہ ویڈیو دیکھیے اور پھر پولیس اور مریم نواز کا جعلی بیانیہ دیکھیے۔
108,الیکشن ملکی حالات نہیں PDM کے حالات کی وجہ سے ملتوی ہوئے ہیں۔
109,"الیکشن تو ھوں گے- اب آئین پر عمل ھوگا اور سپریم کورٹ کے پیچھے پوری قوم اور آئین کے ساتھ وفادار ھرشہری اور ملک بھر کے وکلاء ھوں گے- 

آئین کے ساتھ وفاداری ھی ریاست کے ساتھ وفاداری ھے-"
110,افسوس
111,"وہ تو اتنا دھیمے لہجے کا صحافی ہے کہ اس نے دہشتگردی کبھی رپورٹ نہیں کی وہ دہشتگرد کیسے ہوگیا 
خدا دا خوف کرو! آج جج جب مقدمہ خارج کرئے گا تو وہ صرف جھوٹ اورFabricated ثابت نہیں ہوگا بلکہ بےشرمی اورڈھٹائی کی علامت بن جائے گا جو اداروں کو کمزور کررہاہے
#صدیق_جان_کو_رہا_کرو"
112,"اظہر مشوانی کو اپنے گھر کے باہر سے نا معلوم افراد نے اُٹھا لیا ہے 

سب دوست اس کیلئے آواز اٹھائیں

#ReleaseAzharMashwani"
113,"یہ گرفتاریاں کرنے والے سادہ لباس میں کیوں ہیں ؟ 
@ICT_Police
  یہاں کوئی کسی کو نقصان پہنچادے کون جواب دے گا۔ یہ یونیفارم میں کیوں نہیں۔ https://twitter.com/OmarAyubKhan/status/1640257220112703488…"
114,"پولیس کے چھاپوں کا سلسلہ جاری، پورے لاہور میں کارکنوں کے گھر وں پر چھاپے

یہ فوٹیج ارات لےاڑھائی بجے بحریہ ٹاؤن کے ورکر کےگھر کے باہر کی ہے"
115,آنے والے دنوں میں مزید ایسے کردار بے نقاب ہونگے انشااللہ۔
116,"The fascist enabler & Shobaz & General Nani’s  ghost writer, ⁦
@Fahdhusain
⁩ . It will be remembered that since his appointment   journalists have experienced arrest, death & torture .While ⁦
@Fahdhusain
⁩ is still scheming. Never forget to hold him accountable."
117,عدالت کی چھت سے پتھر اور شیلز کی بارش بھی اور پیشی کا مطالبہ بھی۔ یہ چاہتے کیا ہیں؟
118,شہید ارشد شریف صدیق جان کیساتھ
119,ایک خاتون جو اپنے کارندوں سے پشتون بھائیوں کو دہشت گرد کہلوا رہی ہے! اس کے پاس 23 گاڑیوں کا ایک غریب ملک میں پروٹوکول ہے اور ڈر اسکو صرف عوام سے ٹماٹر پڑنے کا ہے، آج تک جتنی بھی دہشت گردی ہوئی، سب سے زیادہ پشتون بھائیوں کے علاقوں میں ہوئی۔ پشاور اور کوئٹہ، پشتون برادری نے بہت غم… Show more
120,"مظہر عباس صاحب کا تجزیہ
 https://twitter.com/ArtistInWarTime/status/1637902774644908034/video/1…"
121,اور آپکے اس پراپیگنڈا پر یقین کرنے والے ۔۔۔۔۔ ہیں
122,اللہ رب العزت مالک ہے۔
