,Tweets
123,"میر صاحب یہ ریاست نہیں بلکہ فاشسٹ ایجنڈا ڈوب رہا ہے، رجیم چینج محلاتی سازش ڈوب رہی ہے، ڈرائنگ روم میں تختہ الٹنے کے فیصلے ڈوب رہے ہیں 
جنرل باجوہ کیخلاف کاروائی کیلیے آپ حکومت سے کہہ سکتے ہیں، عوام کا انتقام تو دن رات نظر آرہا ہے"
124,"حکومت کی طرف سے سمبڑیال کی فلور ملوں کو دی جانے والی گندم جس سے فری آٹا دیا جارہا ہے
کون ذمہ دار ہے ؟؟؟
 #آٹا #نااہلی"
125,حامد میر اور اس کا بھائی عامر میر دونوں سہولتکاری میں ایک سے بڑھ کر ایک ہیں جیسے ان کا باپ تھا۔ حامد میر جی بی پولیس کے حوالے سے بیان دے کر اور عامر میر پختونوں کے خلاف اپنا ذہر اگل کر ملک میں فساد کروانا چاہ رہے ہیں ان کو فی الفور پٹا ڈالنے کی ضرورت ہے۔
126,"ہمارے ملک میں آٹے کا حصول اتنا مشکل بہت کبھی بھی نہ تھا اب تک کتنے لوگ جان سے جا چکے ۔
پیٹ کو بھرنے کے چکر میں ایک اور بزرگ ملتان میں جان سے ہاتھ دھو بیٹھا۔ #آٹا #مہنگائی #نااہل #حکومت"
127,ماہرہ خان celebrity ہونے کیساتھ ایک خاتون بھی ہیں، انور مقصود کیجانب سے مریم بی بی اور مریم اورنگزیب پر لفظی حملوں پر ماہرہ خان کا ہنسنا اور تالیاں بجانا افسوسناک ہے۔انور مقصود کیجانب سے پاکستان کی دو بہادر خواتین پر comments بھی قابل مذمت ہیں
128,"عورت صرف مریم ہے،

جن کو سیدھی گولیاں ماری گئیں وہ عورت نہیں۔
 
 بشری بی بی کے گھر کی دیواریں توڑ کر اندر داخل ہوئے، وہ عورت نہیں۔ 

جس ماں سے ظل شاہ چھینا، وہ عورت نہیں تھی۔

جس ماں کا کل 10 سال کا بچا اٹھایا، وہ عورت نہیں تھی۔

10 ماہ کی بچی اٹھائی، اس کی ماں عورت… Show more"
129,میر صاحب کو کوئی کچھ نہ کہے۔۔ میر صاحب کا قصور نہیں۔۔ زمان پارک میں دس کڑوڑ کی آنسو گیس چل گئی، میر صاحب کی کامیڈی ختم نہیں ہوئی https://twitter.com/ArtistInWarTime/status/1636459180948070406…
130,"ان برسوں میں کن گھڑی چوروں کی حکومت تھی ریاض صاحب؟
@Riazhaq"
131,یہ سارے ہیرے جلدی ایکسپوز ہو جاتے ہیں۔
132,اگر آپ اسٹیبلشمنٹ کے لیے قابل قبول ہیں تو آپکو جیل میں بھی پروٹوکول ملے گا آپ ملاقاتوں کا ورلڈ ریکارڈ بنائیں گے۔ لیکن اگر آپ اسٹیبلشمنٹ کے ظلم کے خلاف ہیں تو پھر آپکو دی گئی تمام سکیورٹی نا صرف واپس لے لی جائے گی بلکہ اسے ہی آپکے خلاف استعمال کیا جائےگا۔
133,زمان پارک سے برآمد ہونے والے اسلحہ کی کہانی۔۔ سینئر صحافی طالب فریدی صاحب کے زبانی۔
134,جو بولے اسے اٹھا لو۔  #ReleaseSiddiqueJan
135,"Islamabad Police must immediately comment on reports that Barrister 
@HniaziISF
 is being TORTURED in custody. Hassaan Niazi is not only a political worker but he represents the legal community which will unleash such a reaction that no govt will be able to operate. 
@ICT_Police"
136,"""سولین سیاستدان کے گھر پر چڑھائی ہو رہی ہے یہ نہیں ہونا چاہیے ، ریاستی ادارے آج ایک کے پیچھے ہیں کل دوسرے ،تیسرے کے پیچھے ہونگے،ایسے ریاست کی رٹ اور ہماری رٹ نہیں رہے گی ، لمحہ فکریہ ہے .."" اعتزاز احسن کی سینٹ میں تقریر"
137,پنجاب پولیس نے 2014 میں گاڑیاں توڑنے کا طریقہ دریافت کیا گلو بٹ بھی آپ سب کو یاد ہوگا۔ رجیم چینج کر بعد اس طریقہ کو بطور مؤثر ہتھیار استعمال کیا گیا۔ اب لوگ بھی پولیس سے یہ سب کچھ سیکھ لیں گے۔ اچھی تربیت ہو رہی ہے۔
138,دیکھیے
139,بےعزتی پروگرام جاری ہے۔۔۔کوئی شرم ہوتی ہے کوئی حیا ہوتی ہے! IMF نے حکومت کا ایک اور پول کھول دیا
140,یہ وڈیو عمران خان کے گھر کی نہیں ہے۔ ذیشان کو بولیں وڈیو تو ٹھیک بھیجا کرے۔ بیچارہ نوکری بچانے کے لیے آپ کو ۔۔۔چ۔۔۔۔ بنا رہا ہے۔
141,نیپال
142,"عمران ریاض صاحب اور اُن کی فیملی کو عمرہ کئ بہت مبارکباد ۔ اللہ عبادات قبول فرمائے۔ آمین 
@ImranRiazKhan"
143,"سلمان احمد بھی گرفتار۔ شاباش کوئی نہیں ڈرے گا۔ اس سے لوگوں میں نفرت پیدا ہوگی۔
 https://twitter.com/AftabChaudhary/status/1639425391730253824/video/1…"
144,کونسی سیاسی جماعت پولیس والوں پر پٹرول بم پھینکتی ہے ؟ یہ بات ناقابل برداشت ہے ۔۔ عمران خان کے خلاف ایکشن ہونا چاہیئے۔ سابق وزیراعظم محمد نواز شریف
145,ایک اور ہیرو بے نقاب ہوا: خیر مجھے تو ان سارے بزرگوں کی اصلیت بہت پہلے سے پتہ تھی:یہ بھی سارا دن آئین و قانون کا راگ آلاپتا ہوتا تھا۔
146,This isn’t Zaman Park. Don’t delete this tweet.
147,"سابق وزیر اعظم نے لکھ کر دیا کہ 18 تاریخ کو عدالت میں ضرور پیش ہو جاؤں گا۔ مگر پولیس کو گرفتار کرکے ہی لانے کا حکم۔
یاد رہے یہ وہی ملک ہے جہاں عدالت نے سزا یافتہ مجرم کو جیل سے نکال کر 50 روپے کے اسٹام پر پاکستان سے باہر بھجوا دیا تھا۔"
148,hero 
149,"حاضری استثناء کی درخواست خارج، رانا ثنا اللہ  کے ناقابل ضمانت وارنٹ جاری

#sunonewshd"
150,چادر اور چار دیواری کا تقدس کہاں گیا؟ کوئی گھر محفوظ نہیں۔
151,تمہاری زلف میں پہنچی تو حسن کہلائی
152,"جبر کا موسم کب بدلے گا
 ہم بدلیں گے تب بدلے گا

ساری عمر یہ آس رہی
وہ اب بدلے گا اب بدلے گا

محکوموں کو ملے گی شاہی
اک دن سب کا سب بدلے گا"
153,عمران خان کی گرفتاری کی ایک اور کوشش کی اطلاع پر تحریک انصاف کی کارکنوں کو زمین پارک پہنچے کی ہدایت۔
154,"""جیو کو جینے دو""
تنخواہوں میں مہنگائی کے تناسب سے اضافے کا مطالبہ لیے جیو ورکرز احتجاج کو اب ایک ہفتے سے زائد ہو چکا، دنیا تک تمام خبریں پہنچانے والوں کو اپنے آشیانے کے اندر سے اٹھتی آوازیں نہیں آ رہیں۔ حیرت ہے"
155,بغل بچوں کے ذریعے ایک نیا مہم پی ڈی ایم اور ان کے سہولتکاروں نے شروع کردیا ہے کہ تحریک انصاف پر پابندی عائد کرنے کے لیے کوئی راستہ ہموارکیا جا سکے لیکن ایسے ماورائے قانون اقدامات نہ کھبی ماضی میں کامیاب ہوئے نہ مستقبل میں ہونگے۔ (یہ اڈیو گیارہ مہینے پرانی ہے)
156,"Faced this harassment while I was on my way to office. We’re stucked in middle of the canal road. What was my fault? What was the fault of patients in ambulances? 
When I raised my voice SHO named RAZA ATTACKED ON ME tried to snatch my mobile 
This is Pakistan"
157,ساتویں جماعت کے بچے پر پانچ پولیس اہلکاروں کا بہیمانہ تشدد ۔ کہتا ہے کہ PTI کی ٹوپی پہنی اس لیے مارا ہے۔
158,@ImranRiazKhan umra mubarak
159,عمران خان کی ممکنہ گرفتاری کیخلاف  مختلف شہروں میں عوام باہر نکل آئی۔ بازار بند ہونا شروع
160,بھائی پوری ویڈیو دیکھ لیجیئے اس میں صدیق جان اور دیگر صحافی اسلام آباد پولیس کو شیلنگ سے منع کر رہے ہیں کیونکہ ہوا کی وجہ سے دھواں واپس آ رہا تھا اور کارکنوں کے پھینکے پتھر بھی۔ آنکھیں بند کرکے پنجابی اسٹیبلشمنٹ کے بیانیہ کو مت پھیلائیں
161,گھر توڑنے کی تصاویر ویڈیوز رائیونڈ لندن بھیج دی گئیں
162,جسکے دور میں معیشت چھ فیصد کی شرح سے ترقی کر رہی تھی،غریبوں کو پناہ گاہوں میں بہترین پکا ہوا کھانا ملتا تھا، لیٹنے کو بستر بھی مہیا تھا اسکو نکال کر ان لوگوں کو مسلط کر دیا جن کے دور میں لوگ آٹے کے لیے ایک دوسرے کو مرنے مارنے پر تل گئے ہیں... خود برباد کروایا ہے انہوں نے ملک کو
163,پاکستان کی موجودہ صورتحال کا زمہ دار کون؟
164,یہ کل شام چار بجے کے حالات تھے۔۔ لوگ روزے کی تیاری کے لیگ پورا پورا دن لائن میں لگ کر آٹا لینے کے لیے کھڑے تھے۔۔
165,وہ پھر شہر اقتدار تک گیا اور واپس آگیا۔ یہ 400 کلو میٹر کا سفر اور طاقت کے اندھے استعمال کا سامنا اس کے لوگوں کے لیے کھیل بنتا جا رہا ہے۔ اس سے پہلے کہ آزادی کا نعرہ اپنے معنی بدلنے لگے اور نفرت کی آگ ان بند کمروں تک جا پہنچے ہوش کے ناخن لیجیئے۔
166,پھر فکری بددیانتی ثابت کردی جناب بے، کیا سیاسی انجینئرنگ 6 سال پہلے ہوئی؟ بھٹو، نواز شریف کو بھول گئے؟ ثابت ہوا آپ بدبودار سوچ رکھنے والے انسان ہیں جو صرف بغض عمران کا مارا اور حب نواز میں مبتلا صحافی نما سیاسی ورکر ہے twitter.com/Matiullahjan91…
167,"عالمی منڈی میں قیمت 48 ڈالر فی بیرل تک آگئی۔

عالمی مارکیٹ میں خام تیل کی قیمتیں 15 ماہ کی کم ترین سطح پر آگئیں - ایکسپریس اردو"
168,ٹکر کے لوگ۔۔۔
169,آنے والے دنوں میں بہت سارے ایسے کردار مزید بے نقاب ہونگے۔ ہر انسان کا اصل ظاہر ہو کر رہے گا۔
170,"گوگل جھوٹ نہیں بولتا اگرچہ وہ فکشن بھی پڑھتا ہے 

کل گوگل نے تاریخ ریکارڈ کر لی،وہ تاریخ جو مطالعہ پاکستان میں کبھی نہیں ہوتی 

گوگل کیلئے تالیاں، لیکن کہیں گوگل بھی اغوا نا ہو جاۓ"
171,اس وقت ریاست کا سب سے بڑا مسئلہ صدیق جان ہے۔
172,قابل مذمت
173,"اسد عمر کا چیف جسٹس آف پاکستان کو خط
اسد عمر کا عمران خان کی ممکنہ گرفتاری روکنے کے لیے چیف جسٹس سے ازخود نوٹس لینے کا مطالبہ
عمران خان کے زندہ رہنے کے بنیادی حق کے تحفظ کے لیے چیف جسٹس از خود نوٹس لیں۔ اسد عمر
ریاست پی ڈی ایم حکومت کی ایماء پر عمران خان سے انتقام لینے کی کاروائی… Show more"
174,حسان نیازی کو ضمانت کے باوجود گرفتار کرنا اور جعلی وقوعہ بنانا انتہائی قابل مذمت ہے۔ وکلاء کو اس لاقانونیت کے خلاف کھڑے ہونا چاہیئے۔
175,ایک ٹی وی پروگرام لینے کے لیے انسان کس حد تک چلا جاتا ہے۔ اپنے ساتھی صدیق جان کی گرفتاری پر مذمت کرنے کے بجائے وضاحتیں دے رہے کہ اسلام آباد پولیس نے گرفتار کیا ہے۔
176,"سہیل وڑائچ صاحب روایات بدل رہی ہیں۔
سیاستدان گرفتاریاں دیتے رہے مگر بے بنیاد مقدمات کی وجہ سے جیل، جلاوطنی، عدالتی قتل، تشدد اور نااہلی جیسی سزاؤں  کا شکار ہوتے رہے۔
مگر
تاریخ بدل رہی ہے، اب ایک سیاستدان ڈٹ کہ کھڑا ہو گیا ہے کہ بے بنیاد مقدمات کی بنیاد پر گرفتاری دیکر بھٹو کی طرح… Show more"
177,پیپلز ہارٹی TV پر ن لیگ کے گناہوں سے دوری اور حکومت میں قربت کی خواہش ایک وقت میں کیسے پوری کر سکتی ہے؟ یعنی ہم حکومت میں ہیں مگر حکومت جو غلط کرے اس سے بری الزمہ ہیں۔
178,یہ وہی چیز ہے جسے صدیق جان نے نامعلوم افراد کے ہاتھوں میں دکھایا تھا۔
